time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,34,7,0,0
2026-04-30 00:00:00+00:00,21,7,0,0
2026-05-01 00:00:00+00:00,57,14,0,0
2026-05-02 00:00:00+00:00,16,5,0,0
2026-05-03 00:00:00+00:00,36,13,1,1
2026-05-04 00:00:00+00:00,40,13,0,0
2026-05-05 00:00:00+00:00,29,8,0,0
2026-05-06 00:00:00+00:00,24,6,0,0
2026-05-07 00:00:00+00:00,27,9,0,0
2026-05-08 00:00:00+00:00,32,10,0,0
2026-05-09 00:00:00+00:00,10,5,0,0
2026-05-10 00:00:00+00:00,95,17,17,1
2026-05-11 00:00:00+00:00,90,35,3,1
2026-05-12 00:00:00+00:00,9,4,0,0
