time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-18 00:00:00+00:00,2,1,0,0
2026-03-19 00:00:00+00:00,3,3,0,0
2026-03-20 00:00:00+00:00,2,2,2,1
2026-03-21 00:00:00+00:00,0,0,1,1
2026-03-22 00:00:00+00:00,0,0,0,0
2026-03-23 00:00:00+00:00,1,1,0,0
2026-03-24 00:00:00+00:00,0,0,6,1
2026-03-25 00:00:00+00:00,1,1,15,1
2026-03-26 00:00:00+00:00,0,0,0,0
2026-03-27 00:00:00+00:00,4,4,0,0
2026-03-28 00:00:00+00:00,1,1,0,0
2026-03-29 00:00:00+00:00,27,16,25,1
2026-03-30 00:00:00+00:00,103,65,41,1
2026-03-31 00:00:00+00:00,155,96,94,1
2026-04-01 00:00:00+00:00,21,14,53,1
2026-04-02 00:00:00+00:00,35,22,10,1
2026-04-03 00:00:00+00:00,11,7,9,1
2026-04-04 00:00:00+00:00,15,6,0,0
2026-04-05 00:00:00+00:00,23,9,1,1
2026-04-06 00:00:00+00:00,47,22,34,1
2026-04-07 00:00:00+00:00,194,67,83,1
2026-04-08 00:00:00+00:00,25,8,0,0
2026-04-09 00:00:00+00:00,21,7,0,0
2026-04-10 00:00:00+00:00,7,3,0,0
2026-04-11 00:00:00+00:00,4,4,0,0
2026-04-12 00:00:00+00:00,16,6,5,1
2026-04-13 00:00:00+00:00,51,12,13,1
2026-04-14 00:00:00+00:00,31,9,0,0
2026-04-15 00:00:00+00:00,39,9,0,0
2026-04-16 00:00:00+00:00,28,10,0,0
2026-04-17 00:00:00+00:00,31,9,0,0
2026-04-18 00:00:00+00:00,5,4,0,0
2026-04-19 00:00:00+00:00,33,11,0,0
2026-04-20 00:00:00+00:00,9,4,2,1
2026-04-21 00:00:00+00:00,42,11,0,0
2026-04-22 00:00:00+00:00,64,16,0,0
2026-04-23 00:00:00+00:00,101,23,0,0
2026-04-24 00:00:00+00:00,45,19,0,0
2026-04-25 00:00:00+00:00,111,49,0,0
2026-04-26 00:00:00+00:00,50,10,0,0
2026-04-27 00:00:00+00:00,25,8,0,0
2026-04-28 00:00:00+00:00,23,9,0,0
2026-04-29 00:00:00+00:00,34,7,0,0
2026-04-30 00:00:00+00:00,21,7,0,0
2026-05-01 00:00:00+00:00,57,14,0,0
2026-05-02 00:00:00+00:00,16,5,0,0
2026-05-03 00:00:00+00:00,36,13,1,1
2026-05-04 00:00:00+00:00,40,13,0,0
2026-05-05 00:00:00+00:00,29,8,0,0
2026-05-06 00:00:00+00:00,24,6,0,0
2026-05-07 00:00:00+00:00,27,9,0,0
2026-05-08 00:00:00+00:00,32,10,0,0
2026-05-09 00:00:00+00:00,10,5,0,0
